"status","general_grade","developers","grade_url","name","area","price","green_grade","newest_made_time","given_time","detail_address","around_grade","type","traffic_grade"
"售罄","3.1","成都龙湖锦鸿置业有限公司","https://cd.fang.lianjia.com//loupan/p_lhsdtjaabng/","龙湖时代天街","高新西","8000","3","2017.04.15","2019年02月28日","合作路89号","3.2","住宅","3.2"
"售罄","1.8","成都市保华房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_bllyxeqafslg/","保利林语溪二期","成华","10500","1.8","2018.07.17","2020年04月30日","华实路13号","1.8","住宅","1.8"
"售罄","null","null","https://cd.fang.lianjia.com//loupan/p_qxhpaabqv/","千禧河畔B区","温江","7000","null","null","null","null","null","住宅","null"
"售罄","null","null","https://cd.fang.lianjia.com//loupan/p_scjzaapwu/","首创娇子1号","锦江","11000","null","null","null","null","null","住宅","null"
"售罄","2.5","成都华信大足房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_dsgjjdbsaapxw/","东山国际君度半山","龙泉驿","20000","2.5","2016.01.31","2017年12月31日","成龙路东山国际大道1号东山国际新城内","2.5","别墅","2.5"
"售罄","4.6","成都辰诗置业有限公司","https://cd.fang.lianjia.com//loupan/p_bclsnmljaaqwp/","北辰朗诗南门绿郡","高新","800","4.8","2016.04.20","2018年09月30日","天府三街与康华路交汇处南侧","4.6","别墅","4.6"
"售罄","null","null","https://cd.fang.lianjia.com//loupan/p_kqcaabrf/","和信孔雀天成","温江","7000","null","null","null","null","null","住宅","null"
"售罄","4","成都辰诗置业有限公司","https://cd.fang.lianjia.com//loupan/p_bclsnmljaaqui/","北辰朗诗南门绿郡","高新","价格待定","4.1","2017.01.27","2018年05月30日","天府三街与康华路交汇处南侧","3.9","住宅","3.9"
"售罄","3.2","成都上置置业有限公司","https://cd.fang.lianjia.com//loupan/p_szxdhfafsfe/","上置绿洲雅宾利花园","郫都","4500","3.3","2018.01","2018年05月","红光港华路555号","3.1","商业","3.3"
"售罄","3.1","成都北大资源地产有限公司","https://cd.fang.lianjia.com//loupan/p_bdzyyhfcfaarjo/","北大资源颐和翡翠府","高新","18000","3.4","2016.08.05","2018年09月30日","红星路南延线与应龙路交叉口","2.9","住宅","3"
"售罄","3.3","成都犀牛房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_undefinedaarhp/","润扬双铁广场石犀里","郫都","9800","3.2","2016.12.28","2018年12月31日","双铁路88号（犀浦三铁换乘站口）","3.4","住宅","3.4"
"在售","0","成都旭和盛房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_jnbfbjbet/","金楠缤纷","武侯","20000","0","2018.09.16","2019年06月30日","中华名园簇锦街道办旁顺兴路369号","0","商业类","0"
"在售","0","成都旭和盛房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_jnbfbjbit/","金楠缤纷","武侯","35000","0","2018.09.16","2019年06月30日","中华名园簇锦街道办旁顺兴路369号","0","底商","0"
"售罄","null","null","https://cd.fang.lianjia.com//loupan/p_djhjwaabog/","东骏湖景湾六期","新都","12000","null","null","null","null","null","住宅","null"
"在售","0","四川置都房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_jzxsbjouk/","锦镇香墅","双流","18000","0","2018.11.29","2019年06月30日","藏卫路北一段156号","0","别墅","0"
"售罄","null","null","https://cd.fang.lianjia.com//loupan/p_lrvkddaaqtx/","蓝润V客东都一期","锦江","95","null","null","null","null","null","商业类","null"
"在售","0"," 成都安坚商贸有限公司","https://cd.fang.lianjia.com//loupan/p_hsjlybjovm/","会所金澜苑","武侯","17000","0","2018.04.19","2016年08月31日","晋康街179号","0","住宅","0"
